title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
2594,Die Kuss Wette,ROMANCE,Ingrid Ochoa,THURSDAY,133,5364,9.57,366228,22140,HIATUS,False,"Es ist ihr letztes Schuljahr und Sara Lin ist 18 geworden. Sie hat tolle Freunde, einen coolen Dad (zumindest denkt er das), und noch eine ganze Menge vor sich. Das Letzte, was sie braucht, ist sich Sorgen um ihren ersten Kuss zu machen. Jedoch wird sich auch das ganz schnell ändern, denn ihr alter Kumpel Patrick schließt mit ihr eine Wette, die entweder zu Liebe, Kummer oder peinlichen Situationen führt … oder vielleicht alles auf einmal? "
2593,Die violette Hyazinthe,THRILLER,"Ephemerys,Sophism",SUNDAY,150,9297,9.87,582114,41259,HIATUS,False,"Ihre Fähigkeit, Lügen zu erkennen, hat sie zu einer hervorragenden Polizistin gemacht – obwohl sie ständig von den traumatischen Erinnerungen heimgesucht wird, dass sie ihre Geliebten nicht vor einem grausamen Schicksal retten konnte. Jetzt nutzt sie ihre mächtige Gabe, um die Hilflosen um jeden Preis zu verteidigen und um das Böse in einer verrückten Welt zu bekämpfen, auch wenn das bedeutet, dass sie sich mit einem tödlichen Attentäter zusammenschließen muss."
2592,Suitor Armor,FANTASY,Purpah,FRIDAY,82,5607,9.51,358558,16358,HIATUS,False,"Lucia glaubt, dass die königliche Hochzeit zu überstehen der schwierigste Teil ihres neuen Lebens wird - bis sie sich Hals über Kopf in Modeus, einen aufstrebenden Ritter der Königswache, verliebt. Mit neu erwachtem Interesse entdeckt sie schnell die Geheimnisse des Königreichs, darunter auch die Tatsache, dass Modeus in Wahrheit eine verzauberte Rüstung ohne Seele ist. Ist er mehr als nur eine glänzende Rüstung?"
2591,Der Boxer,ACTION,JH,SUNDAY,3,8904,9.68,530891,22081,COMPLETED,True,"Hast du das Talent dazu, ein Meister zu werden? Oder bist nur ein Außenseiter? Zeig, aus welchem Holz du geschnitzt bist - Der wahre Kampf beginnt jetzt!"
2590,Fragiler Held,ACTION,"SEOPASS,RAZEN",FRIDAY,146,6656,9.61,620589,26515,HIATUS,False,"Sobald du zur Zielscheibe wirst, ist es aus. Diese Schule wird von Tyrannen beherrscht, deren Hobby es ist, die Schwächsten der Klasse zu schickanieren. Aber dann kam Gray. Er mag zwar von kleiner Statur sein, aber sein berechnender, brutaler Kampfstil lässt die Gegner um Gnade flehen. Dieser mysteriöse neue Schüler zerstört die bestehende Ordnung -- ab jetzt müssen die taffen Mobber der Schule sich darum schlagen, diesen neuen Helden zu besiegen!"
2589,Lore Olympus,ROMANCE,Rachel Smythe,SUNDAY,234,17349,9.47,1811812,76368,HIATUS,False,"Bezeuge, was die Götter nach der Dämmerung tun. Freundschaften und Lügen, Gerüchte und wilde Partys, und natürlich, die verbotene Liebe. Die Götter sind in Wahrheit nicht viel anders als wir, besonders wenn es um Probleme geht. Stilvoll und eindringlich wird die  -- Entführung der Persephone -- eine der größten Geschichten der Mythologie, erzählt wie nie zuvor. "
2588,SubZero,ROMANCE,Junepurrr,WEDNESDAY,183,33610,9.74,4133427,145973,HIATUS,False,"Was würdest du opfern, um deine Famile zu retten? Wie weit würdest du gehen, um dein Volk zu schützen? Für Clove, die letzte Prinzessin eines fast ausgestorbenen Drachenclans, ist die Antwort unvorstellbar: Heirate deinen größten Feind, um Frieden zu schließen."
2587,Club der verfluchten Prinzessinnen ,COMEDY,LambCat,WEDNESDAY,140,4196,9.52,375196,24022,HIATUS,False,"Triff Gwendolyn – den lebenden Beweis dafür, dass nicht jede Prinzessin unbedingt perfekt ist. Obwohl sie in einem Palast wohnt, und ihr Vater der König ist, ist Gwendolyn nicht wie die typischen Prinzessinnen aus Filmen oder Märchen: Sie hat zwar ein großes Herz, aber ist nicht besonders attraktiv und hat auch keine disneymäßige Gesangsstimme. Eines Nachts stößt sie zufällig auf den Club der verfluchten Prinzessinnen. Verflucht und vertrieben, sind die Ladies des Clubs genau die richtigen Leute, um Gwendolyn davon zu überzeugen, dass sie nicht weniger Prinzessin ist, nur weil sie nicht ,normal‘ ist. "
2585,Wie ein welker Ast im Winde,ROMANCE,"Dalsaeowl,Hwaeum",THURSDAY,123,29440,9.56,2741735,96695,HIATUS,False,"Die Pest hat Rieta Tristi ihren Ehemann genommen, Sklavenhändler haben ihr Kind entführt, und jetzt will ein boshafter Adeliger sie als seine Grabbeigabe lebendig begraben lassen. Während Rieta sich in Lebensgefahr befindet, taucht plötzlich der berüchtigte Großherzog von Axias auf. Wird er Rieta aus ihrer Misere befreien?"
2584,Die unliebsame Neue,ROMANCE,Nylana,MONDAY,49,11139,9.7,639804,24103,HIATUS,False,"Als der wohlhabende Student Chiko Dyer von seiner langjährigen Freundin verlassen wird, beginnt er, eine seltsame Beziehung zu einem Liefermädchen aufzubauen. "
2583,Freaking Romance,ROMANCE,Snailords,"MONDAY,THURSDAY",16,22426,9.59,1602600,64199,COMPLETED,True,"Endlich beginnt Zylith ihr eigenes Leben, und zieht in ihre Traumwohnung ein – bloß mit einem kleinen Problem – und zwar, soll es in der Wohnung spuken! Der Fremde in Zyliths Wohnung scheint jedoch kein Gespenst zu sein, aber klar ist: ER kann sie nicht sehen und SIE kann ihn nicht berühren. Aber wer sagt schon, dass jede Beziehung perfekt anfängt?"
2582,Der allwissende Leser,FANTASY,"sing N song,UMI,Sleepy-C",SUNDAY,201,35090,9.89,3222171,164377,ONGOING,False,"Damals hatte Dokja noch überhaupt keine Ahnung. Er hatte keine Ahnung, dass sein Lieblings-Web-Roman ‘Drei Wege um die Apokalypse zu überleben’ Realität wird und dass er der einzige ist, der weiß wie der Weltuntergang aussehen wird. Er hatte auch keine Ahnung, dass er letztendlich der Protagonist von diesem Roman werden würde. Jetzt begibt sich Dokja auf eine Reise, um den Lauf der Geschichte zu ändern und die Menschheit zu retten! "
2581,Poppy um Mitternacht,ROMANCE,Lilydusk,FRIDAY,118,33331,9.72,4096254,118482,HIATUS,False,Nach einem gruseligen Fund auf dem Land kreuzen sich die Wege der schüchternen Buchredakteurin Poppy und eines jungen Mafiabosses sowie dessen Bodyguard. Seit dieser Begegnung taucht Poppy mit jedem Schritt tiefer in die gefährliche Unterwelt der Stadt ein.
2580,Dein Thron,FANTASY,SAM,SUNDAY,159,21472,9.74,1682138,81546,HIATUS,False,"Spannungen brauen sich zusammen unter der scheinbar ruhigen Oberfläche des Vasilios-Reiches, ein Königreich, das von der kaiserlichen Familie und dem Tempel beherrscht wird. Fräulein Medea Solon hat ihren Platz neben dem Kronprinz Eros verloren, aber sie hat sich vorgenommen, alles nötige zu tun, um zurückzugewinnen, was rechtmäßig ihr gehört. Wird sie ihren Thron zurückerobern?"
