title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis,language
7004,Absolute Regression,FANTASY,"JP,PARK JIN HWAN,Y.H.JANG",SATURDAY,7,104550,9.67,655296,64616,ONGOING,False,"The past has changed, but like a fiery comet, he still comes. Mugi Hwa, the one without equal, slashed through Murim's skies with his sword, toppling every lord who dared to face him–even Cheonma, Mugeuk Geom’s father.  But Mugeuk didn’t accept defeat. Instead, he turned to the forbidden: a time-bending ritual that hurled him into his own past. Now, retracing his steps, he races against the clock until Mugi emerges once again. But this time, it's not just about power, but mending old wounds and forging new bonds to unite his people and prepare for the bloodtide to come.
",en
6997,Special Civil Servant,ACTION,"Kwon Sora,Seo Jaewon,ch",SUNDAY,8,69417,9.81,500984,55434,ONGOING,False,"Socially-awkward Maru Han bombs his fifth attempt at getting a dream job in the civil service. But after a strange creature attacks him in the mountains, he finds himself recruited into the Special Civil Service for the Ministry of Environment. This secret organization is dedicated to fighting nachal, human-devouring demons who appear in clouds of yellow dust. As Maru struggles in his new job fighting nachal, he must find out why they're mysteriously drawn to him before the prophesied end of the world arrives.				",en
6996,Juvenile Detention Center,ACTION,"Chungmin,Lee Soo hyon",WEDNESDAY,7,72320,9.32,503331,41838,ONGOING,False,"Juyeong is in a juvenile detention center for the attempted murder of his father, Gang-ryong. He clings to hope, dreaming of a future in Seoul with his childhood friend, Dayeon. But everything shatters when Dayeon is tragically killed by a rogue truck, and the devastation deepens when Juyeong learns that his father was behind the wheel.
In a cruel twist, Gang-ryong regains consciousness and offers Juyeong an ultimatum: “If you want revenge, become the king of this detention center!” Now, Juyeong must navigate the treacherous world of prison politics, determined to rise to power and avenge his friend.
",en
6995,Back to Chanbi,ROMANCE,jang sawhee,THURSDAY,9,115076,9.21,885642,69758,ONGOING,False,"Gyeono Kang, a lucky high schooler, used to enjoy the mutual love he shared with the prettiest girl in his class, Chanbi Baek. She was always all about him until an accident wiped her memories of the past year, and just like that, she no longer had feelings for him. But what about Gyeono, whose heart still beats for her? Is it even possible to win her back? Did she really like him back to begin with?! Somebody help!",en
6994,The Masters Have Subscribed,ACTION,"DN,kangho HA,KIM KI BAEK",THURSDAY,8,42358,9.28,295805,28102,ONGOING,False,"“Cheong-un, parry the attack! Move faster or the obstacle course will kill you!”
The progenitors of the great Wudang sect and the mighty Shaolin encounter post-ascension issues when they find themselves reduced to servants in the godly realm. Their only hope and escape from their divine chores lie in the hands of less-than-average Cheong-un, who can hardly beat his peers in the sect.
Can the masters raise an average boy into a master of martial arts and finally relieve themselves of their menial chores?
",en
6992,Who’s That Long-Haired Senior?,ROMANCE,bullgwanhu,WEDNESDAY,6,75631,7.62,582359,56622,ONGOING,False,"Sol Song has a uniquely quirky taste in men: they absolutely must have long hair. Otherwise, she sees them as literal ""stone heads,"" devoid of facial features. So, when her first love—and the only long-haired guy on campus—shows up with a buzz cut, she's devastated. But as they start to reconnect and emotions deepen, Sol must discover whether she likes Okseok for who he truly is or just for his hair.",en
6989,A Knight With a Time Limit,FANTASY,"GEUMUIHAENG,KDRM,Yunyeol Choi",SATURDAY,6,34563,8.66,204956,19032,ONGOING,False,"Leaving behind his miserable life and untimely death,
Luis Cloyde is reborn into a new world filled with fantastical beasts and adventure.
The catch? He must continue killing other living beings to extend his own life.
But given a second chance at life, Luis Cloyde is willing to do just about anything to survive.
",en
6988,Starting Over With the Dead You,ROMANCE,Hiwoo,WEDNESDAY,8,28622,8.52,229282,16973,ONGOING,False,"When Iru starts college, she unexpectedly meets Ha-im, a guy who looks just like Hayul—the one who used to torment her as a child. She feels uneasy around him yet finds herself drawn to his seemingly perfect nature. Is it really okay for her to open up her heart to him?				",en
6945,The Barbarian of Seoul Station,ACTION,"LICO,Jin Seol woo",MONDAY,4,47835,8.92,247081,21819,ONGOING,False,"Cheoldu, a barbarian raised on Earth, lives a mundane life with his best friend Jintae. But when he sees an alien creature from his planet on the news, everything changes. Thrown into an apocalyptic challenge, Cheoldu and Jintae must adjust their lives in Nova, a savage world filled with goblins and ogres. Will the two conquer Nova’s perils and uncover the secrets that could change Earth’s fate? An epic tale of friendship, survival, and untamed adventure awaits.",en
6922,Cinderelle,ROMANCE,troyzworld,FRIDAY,5,124923,8.81,763502,96747,ONGOING,False,"Giselle should support the royal engagement - she's the princess's best friend, after all! But it's hard to watch your love get married to someone else. What's a girl to do? Team up with the one other person in the kingdom not celebrating the marriage: a handsome rogue who wants the princess' fiance dead. When Giselle learns the engagement is not what it seems, she's willing to get her hands dirty. Can a noble lady and a street rat stop this courtship from sailing?",en
6921,A Practical Guide to Evil,FANTASY,"David Verburg,Yeajin Shin,Yui,G. Galen Mayhew,WmW",TUESDAY,6,63946,9.66,353873,36419,ONGOING,False,"The Empire stands triumphant.

For twenty years the Dread Empress has ruled over the lands that were once the Kingdom of Callow, but behind the scenes of this dawning golden age threats to the crown are rising. The nobles of the Wasteland weave their plots behind pleasant smiles while rebellion stirs beyond Peren Woods, for dreams of crowns were buried in shallow graves.

The greatest danger of all lies to the west, where the First Prince of Procer restored order at last: her people sundered, she ponders if a crusade might not be the way to secure her reign. Yet none of this matters, for in the heart of the conquered lands the most dangerous man alive sat across an orphan girl and offered her a knife.

Her name is Catherine Foundling, and she has a plan.",en
6920,Angel Wings,DRAMA,"Brandon Chen,Comipa",MONDAY,8,58280,9.36,317615,38285,ONGOING,False,"Angels ferry the good souls to Heaven. Devils ferry the bad souls to Hell. That is how the afterlife is written. Evangeline was born a Devil, but has always dreamed of becoming an Angel and helping souls live a beautiful afterlife. When she encounters Tatrasiel, an Angel curious of Hell, she proposes the impossible: switching lives to see how the other lives! But they'll soon discover Heaven and Hell isn't quite what either of them expected! ",en
